itemLabel,areaLabel,partyLabel
Martha Nyanuba Simon,Upper Nile,SPLM-IO
Chuol Kuajien Tut,Upper Nile,SPLM-IO
Nyanchiok John Gileng,Upper Nile,SPLM-IO
Diing Lam Yuel,Upper Nile,SPLM-IO
Elijah Awuor Yiey,Upper Nile,SPLM-IO
Grace Thomas Kume,Upper Nile,SPLM-IO
Dawud Juma Hasco,Upper Nile,SPLM-IO
Anyang Akol Akuer,Upper Nile,SPLM-IO
Thokat Khor Wiew,Upper Nile,SPLM-IO
Andrew Koang Ruon,Upper Nile,SPLM-IO
Angelina Samuel Nyawulo,Upper Nile,SPLM-IO
Philip Ayol Akol,Upper Nile,SPLM-IO
Bipuoc Khor Piti,Upper Nile,SPLM-IO
Achol Thomas Dak,Upper Nile,SPLM-IO
Philip Ayol Ajoung,Upper Nile,SPLM-IO
Changkuoth Bichock Reth,Upper Nile,SSOA
William Obany Otong Kaleykey,Upper Nile,SSOA
Joseph Abdalla Sudan,Upper Nile,SSOA
Rita Nazarino Velentino Aboury,Upper Nile,SSOA
Maria Nyehok William,Upper Nile,SSOA
Peter Adwok Nyaba,Upper Nile,SSOA
Maridi Luigi Adwok,Upper Nile,SSOA
Yunas Bol de Manyiai,Upper Nile,SSOA
Del Tut Weang Khor,Upper Nile,SSOA
Josephine Daniel Ogwok,Upper Nile,OPP
Regina Richard Aban,Upper Nile,FDs
John Deng Obany,Upper Nile,National Agenda
Nyaruang Peter Pal,Upper Nile,National Agenda
Onyoti Adigo Nyikwoch,Upper Nile,DC
Johnson Olam Nyiwec,Upper Nile,DC
Benjamin Bol Joknyang,Upper Nile,DC
Samuel Aban Achin,Upper Nile,DC
Pascal Bandindi Uru,Western Equatoria,SPLM
Anita David Gamu,Western Equatoria,SPLM
Festo Kumba,Western Equatoria,SPLM
Veronica Louis Renzi,Western Equatoria,SPLM
Jemma N. Kumba,Western Equatoria,SPLM
Anthony Lino Makana,Western Equatoria,SPLM
Bernardo Kpasira Martin,Western Equatoria,SPLM
Naomi Yusto Purangi,Western Equatoria,SPLM
George Kosta Baandara,Western Equatoria,SPLM
Roseline Samuel Abujohn,Western Equatoria,SPLM
Gloria Philemona,Western Equatoria,SPLM
Peter Bashir Gbandi,Western Equatoria,SPLM
Mary Nawal Martin,Western Equatoria,SPLM
Sepura Siapai Richard,Western Equatoria,SPLM
Boutrous Alison Magaya,Western Equatoria,SPLM
Joseph Ngere Paciko,Western Equatoria,SPLM
Jasmin Samuel Adakai,Western Equatoria,SPLM
Morad Maseka,Western Equatoria,SPLM
Juma Amiro Doboi,Western Equatoria,SPLM
Rejoice Bauda Simon,Western Equatoria,SPLM
Majur Babur Ajal,Western Equatoria,SPLM
Uno Utu Takuari,Western Equatoria,SPLM
Loto Anibiapal,Western Equatoria,SPLM
Felix Edward Bali Miako,Western Equatoria,SPLM
Richard K. Mula,Western Equatoria,SPLM
Justin Joseph Marona,Western Equatoria,SPLM-IO
Jackson Bakoo Charles,Western Equatoria,SPLM-IO
Michael Ariembageiko,Western Equatoria,SPLM-IO
Luice Bari Munyingwa,Western Equatoria,SPLM-IO
Lillan Tito Bimo,Western Equatoria,SPLM-IO
Arkangelo Kanewe Minawe,Western Equatoria,SPLM-IO
Jackline Mathew Gaza,Western Equatoria,SPLM-IO
Tereza Anthony Tikimo,Western Equatoria,SPLM-IO
Nuna Rhoda Rudolf Ndefu,Western Equatoria,SPLM-IO
Isaac Kemis Paul Idris,Western Equatoria,SPLM-IO
Paul Baba Ezibon Bafaa,Western Equatoria,SPLM-IO
Ann Dokki Matayo,Western Equatoria,SPLM-IO
Gassim Barnaba Kisanga,Western Equatoria,SSOA
Khalid Abdallah Adam Idris,Western Equatoria,SSOA
William Mark Faki,Western Equatoria,OPP
Lilian Herberty Brook Rango,Western Equatoria,OPP
Kosti Yukunia Manibe Ngai,Western Equatoria,FDs
Deng Arop Kuol,Abyei Admin. Area,SPLM
Asha Abbas Akuei,Abyei Admin. Area,SPLM
Arop Madut Arop,Abyei Admin. Area,SPLM
Tereza Chol Aguek,Abyei Admin. Area,SPLM-IO
Jok Alor Bulabek,Abyei Admin. Area,SPLM-IO
Christiana Akuol Alessio,Abyei Admin. Area,OPP
Deng Alor Kuol,Abyei Admin. Area,FDs
Banguot Amum Okech,Pibor Admin. Area,SPLM
